#BusNum,AreaName
1,POR
2,POR
3,POR
4,POR
5,POR
6,POR
7,POR
8,POR
9,POR
10,POR
11,POR
12,POR
13,POR
14,POR
15,POR
16,POR
17,POR
18,POR
19,POR
20,POR
21,POR
22,POR
23,POR
24,POR
25,ESP
26,ESP
27,ESP
28,ESP
29,ESP
30,ESP
31,ESP
32,ESP
33,ESP
34,ESP
35,ESP
36,ESP
37,ESP
38,ESP
39,ESP
40,ESP
41,ESP
42,ESP
43,ESP
44,ESP
45,ESP
46,ESP
47,ESP
48,ESP
49,ESP
50,ESP
51,ESP
52,ESP
53,ESP
54,ESP
55,ESP
56,ESP
57,ESP
58,ESP
59,ESP
60,ESP
61,ESP
62,ESP
63,ESP
64,ESP
65,ESP
66,ESP
67,ESP
68,ESP
69,ESP
70,ESP
71,ESP
72,ESP
73,ESP
74,ESP
75,ESP
76,ESP
77,ESP
78,ESP
79,ESP
80,ESP
81,ESP
82,ESP
83,ESP
84,ESP
85,ESP
86,ESP
87,ESP
88,ESP
89,ESP
90,ESP
91,ESP
92,ESP
93,ESP
94,ESP
95,ESP
96,ESP
97,ESP
98,ESP
99,ESP
100,ESP
101,ESP
102,ESP
103,ESP
104,ESP
105,ESP
106,ESP
107,ESP
108,ESP
109,ESP
110,ESP
111,ESP
112,ESP
113,ESP
114,ESP
115,ESP
116,ESP
117,ESP
118,ESP
119,ESP
120,ESP
121,ESP
122,ESP
123,ESP
124,ESP
125,ESP
126,ESP
127,ESP
128,ESP
129,ESP
130,ESP
131,ESP
132,ESP
133,ESP
134,ESP
135,ESP
136,ESP
137,ESP
138,ESP
139,ESP
140,ESP
141,ESP
142,ESP
143,ESP
144,ESP
145,ESP
146,ESP
147,ESP
148,ESP
149,ESP
150,ESP
151,ESP
152,ESP
153,ESP
154,ESP
155,ESP
156,ESP
157,ESP
158,ESP
159,ESP
160,ESP
161,ESP
162,ESP
163,ESP
164,ESP
165,ESP
166,ESP
167,ESP
168,ESP
169,ESP
170,ESP
171,ESP
172,ESP
173,ESP
174,ESP
175,ESP
176,ESP
177,ESP
178,ESP
179,ESP
180,ESP
181,ESP
182,ESP
183,ESP
184,ESP
185,ESP
186,ESP
187,ESP
188,ESP
189,ESP
190,ESP
191,ESP
192,ESP
193,ESP
194,ESP
195,ESP
196,ESP
197,ESP
198,ESP
199,ESP
200,ESP
201,ESP
202,ESP
203,ESP
204,ESP
205,ESP
206,ESP
207,ESP
208,ESP
209,ESP
210,ESP
211,ESP
212,ESP
213,ESP
214,ESP
215,ESP
216,ESP
217,FRA
218,FRA
219,FRA
220,FRA
221,FRA
222,FRA
223,FRA
224,FRA
225,FRA
226,FRA
227,FRA
228,FRA
229,FRA
230,FRA
231,FRA
232,FRA
233,FRA
234,FRA
235,FRA
236,FRA
237,FRA
238,FRA
239,FRA
240,FRA
241,FRA
242,FRA
243,FRA
244,FRA
245,FRA
246,FRA
247,FRA
248,FRA
249,FRA
250,FRA
251,FRA
252,FRA
253,FRA
254,FRA
255,FRA
256,FRA
257,FRA
258,FRA
259,FRA
260,FRA
261,FRA
262,FRA
263,FRA
264,FRA
265,FRA
266,FRA
267,FRA
268,FRA
269,FRA
270,FRA
271,FRA
272,FRA
273,FRA
274,FRA
275,FRA
276,FRA
277,FRA
278,FRA
279,FRA
280,FRA
281,FRA
282,FRA
283,FRA
284,FRA
285,FRA
286,FRA
287,FRA
288,FRA
289,FRA
290,FRA
291,FRA
292,FRA
293,FRA
294,FRA
295,FRA
296,FRA
297,FRA
298,FRA
299,FRA
300,FRA
301,FRA
302,FRA
303,FRA
304,FRA
305,FRA
306,FRA
307,FRA
308,FRA
309,FRA
310,FRA
311,FRA
312,FRA
313,FRA
314,FRA
315,FRA
316,FRA
317,FRA
318,FRA
319,FRA
320,FRA
321,FRA
322,FRA
323,FRA
324,FRA
325,FRA
326,FRA
327,FRA
328,FRA
329,FRA
330,FRA
331,FRA
332,FRA
333,FRA
334,FRA
335,FRA
336,FRA
337,FRA
338,FRA
339,FRA
340,FRA
341,FRA
342,FRA
343,FRA
344,FRA
345,FRA
346,FRA
347,FRA
348,FRA
349,FRA
350,FRA
351,FRA
352,FRA
353,FRA
354,FRA
355,FRA
356,FRA
357,FRA
358,FRA
359,FRA
360,FRA
361,FRA
362,FRA
363,FRA
364,FRA
365,FRA
366,FRA
367,FRA
368,FRA
369,FRA
370,FRA
371,FRA
372,FRA
373,FRA
374,FRA
375,FRA
376,FRA
377,FRA
378,FRA
379,FRA
380,FRA
381,FRA
382,FRA
383,FRA
384,FRA
385,FRA
386,FRA
387,FRA
388,FRA
389,FRA
390,FRA
391,FRA
392,FRA
393,FRA
394,FRA
395,FRA
396,FRA
397,FRA
398,FRA
399,FRA
400,FRA
401,FRA
402,FRA
403,FRA
404,FRA
405,FRA
406,FRA
407,FRA
408,FRA
409,FRA
410,FRA
411,FRA
412,FRA
413,FRA
414,FRA
415,FRA
416,FRA
417,FRA
418,FRA
419,FRA
420,FRA
421,FRA
422,FRA
423,FRA
424,FRA
425,FRA
426,FRA
427,FRA
428,FRA
429,FRA
430,FRA
431,FRA
432,FRA
433,FRA
434,FRA
435,FRA
436,FRA
437,FRA
438,FRA
439,FRA
440,FRA
441,FRA
442,FRA
443,FRA
444,FRA
445,FRA
446,FRA
447,FRA
448,FRA
449,FRA
450,FRA
451,FRA
452,FRA
453,FRA
454,FRA
455,FRA
456,FRA
457,FRA
458,FRA
459,FRA
460,FRA
461,FRA
462,FRA
463,FRA
464,FRA
465,FRA
466,FRA
467,FRA
468,FRA
469,FRA
470,FRA
471,FRA
472,FRA
473,FRA
474,FRA
475,FRA
476,FRA
477,FRA
478,FRA
479,FRA
480,FRA
481,FRA
482,FRA
483,FRA
484,FRA
485,FRA
486,FRA
487,FRA
488,FRA
489,FRA
490,FRA
491,FRA
492,FRA
493,FRA
494,FRA
495,FRA
496,FRA
497,FRA
498,FRA
499,FRA
500,FRA
501,FRA
502,FRA
503,FRA
504,FRA
505,FRA
506,FRA
507,FRA
508,FRA
509,FRA
510,FRA
511,FRA
512,FRA
513,FRA
514,FRA
515,FRA
516,FRA
517,FRA
518,FRA
519,FRA
520,FRA
521,FRA
522,FRA
523,FRA
524,FRA
525,FRA
526,FRA
527,FRA
528,FRA
529,FRA
530,FRA
531,FRA
532,FRA
533,FRA
534,BEL
535,BEL
536,BEL
537,BEL
538,BEL
539,BEL
540,BEL
541,BEL
542,BEL
543,BEL
544,BEL
545,BEL
546,BEL
547,BEL
548,BEL
549,BEL
550,BEL
551,BEL
552,BEL
553,BEL
554,BEL
555,BEL
556,BEL
557,CHE
558,CHE
559,CHE
560,CHE
561,CHE
562,CHE
563,CHE
564,CHE
565,CHE
566,CHE
567,CHE
568,CHE
569,CHE
570,CHE
571,CHE
572,CHE
573,CHE
574,CHE
575,CHE
576,CHE
577,CHE
578,CHE
579,CHE
580,CHE
581,CHE
582,CHE
583,CHE
584,CHE
585,CHE
586,CHE
587,CHE
588,CHE
589,CHE
590,CHE
591,CHE
592,CHE
593,CHE
594,CHE
595,CHE
596,CHE
597,CHE
598,CHE
599,CHE
600,CHE
601,CHE
602,CHE
603,CHE
604,LUX
605,LUX
606,LUX
607,NLD
608,NLD
609,NLD
610,NLD
611,NLD
612,NLD
613,NLD
614,NLD
615,NLD
616,NLD
617,NLD
618,NLD
619,NLD
620,NLD
621,NLD
622,NLD
623,NLD
624,NLD
625,NLD
626,NLD
627,NLD
628,NLD
629,NLD
630,ITA
631,ITA
632,ITA
633,ITA
634,ITA
635,ITA
636,ITA
637,ITA
638,ITA
639,ITA
640,ITA
641,ITA
642,ITA
643,ITA
644,ITA
645,ITA
646,ITA
647,ITA
648,ITA
649,ITA
650,ITA
651,ITA
652,ITA
653,ITA
654,ITA
655,ITA
656,ITA
657,ITA
658,ITA
659,ITA
660,ITA
661,ITA
662,ITA
663,ITA
664,ITA
665,ITA
666,ITA
667,ITA
668,ITA
669,ITA
670,ITA
671,ITA
672,ITA
673,ITA
674,ITA
675,ITA
676,ITA
677,ITA
678,ITA
679,ITA
680,ITA
681,ITA
682,ITA
683,ITA
684,ITA
685,ITA
686,ITA
687,ITA
688,ITA
689,ITA
690,ITA
691,ITA
692,ITA
693,ITA
694,ITA
695,ITA
696,ITA
697,ITA
698,ITA
699,ITA
700,ITA
701,ITA
702,ITA
703,ITA
704,ITA
705,ITA
706,ITA
707,ITA
708,ITA
709,ITA
710,ITA
711,ITA
712,ITA
713,ITA
714,ITA
715,ITA
716,ITA
717,ITA
718,ITA
719,ITA
720,ITA
721,ITA
722,ITA
723,ITA
724,ITA
725,ITA
726,ITA
727,ITA
728,ITA
729,ITA
730,ITA
731,ITA
732,ITA
733,ITA
734,ITA
735,ITA
736,ITA
737,ITA
738,ITA
739,ITA
740,ITA
741,ITA
742,ITA
743,ITA
744,ITA
745,ITA
746,ITA
747,ITA
748,ITA
749,ITA
750,ITA
751,ITA
752,ITA
753,ITA
754,ITA
755,ITA
756,ITA
757,ITA
758,ITA
760,ITA
761,ITA
762,ITA
763,ITA
764,ITA
765,ITA
766,ITA
767,ITA
768,DEU
769,DEU
770,DEU
771,DEU
772,DEU
773,DEU
774,DEU
775,DEU
776,DEU
777,DEU
